t, omega, theta, x, y
0.0, 0.0, -90.0, 3.980102097228898e-18, -0.065
0.01, 7.2, -89.964, 4.084070180945527e-05, -0.0649999871695147
0.02, 14.4, -89.856, 0.0001633626460052534, -0.06499979471233652
0.03, 21.599999999999998, -89.676, 0.0003675643814965758, -0.064998960733426
0.04, 28.8, -89.424, 0.0006534402651874817, -0.06499671542331836
0.05, 36.0, -89.1, 0.0010209756252683565, -0.06499198111130794
0.06, 43.199999999999996, -88.704, 0.0014701399905874448, -0.06498337239946905
0.07, 50.400000000000006, -88.236, 0.002000878387674562, -0.06496919643706345
0.08, 57.6, -87.696, 0.0026131007085919613, -0.06494745341186794
0.09, 64.8, -87.084, 0.0033066691552568633, -0.06491583735189489
0.1, 72.0, -86.4, 0.004081383769405365, -0.06487173734783766
0.11, 72.0, -85.68, 0.004896242359315615, -0.06481532851693991
0.12, 72.0, -84.96000000000001, 0.005710327775798302, -0.06474868459430622
0.13, 72.0, -84.24, 0.006523511465328969, -0.06467181610378452
0.14, 72.0, -83.52, 0.007335665016776318, -0.06458473518380055
0.15, 72.0, -82.8, 0.008146660181679777, -0.06448745558544107
0.16, 72.0, -82.08, 0.008956368894501483, -0.06437999267028233
0.17, 72.0, -81.36, 0.00976466329284921, -0.06426236340796442
0.18, 72.0, -80.64, 0.010571415737667442, -0.06413458637351142
0.19, 72.0, -79.92, 0.011376498833392942, -0.06399668174439835
0.2, 72.0, -79.2, 0.012179785448072094, -0.06384867129736477
0.21, 72.0, -78.48, 0.012981148733436455, -0.06369057840497605
0.22, 72.0, -77.76, 0.013780462144933545, -0.06352242803193257
0.23, 72.0, -77.04, 0.014577599461709776, -0.06334424673112751
0.24, 72.0, -76.32000000000001, 0.015372434806542096, -0.06315606263945381
0.25, 72.0, -75.6, 0.01616484266571557, -0.06295790547336103
0.26, 72.0, -74.88, 0.016954697908843304, -0.0627498065241628
0.27, 72.0, -74.16, 0.01774187580862615, -0.06253179865309558
0.28, 72.0, -73.44, 0.01852625206054845, -0.062303916286129433
0.29, 72.0, -72.72, 0.01930770280250727, -0.062066195408531796
0.3, 72.0, -72.0, 0.020086104634371583, -0.06181867355918498
0.31, 72.0, -71.28, 0.020861334637468615, -0.061561389824658384
0.32, 72.0, -70.56, 0.021633270393994136, -0.06129438483303619
0.33, 72.0, -69.84, 0.022401790006343607, -0.06101770074750182
0.34, 72.0, -69.12, 0.0231667721163613, -0.060731381259679786
0.35000000000000003, 72.0, -68.4, 0.023928095924504064, -0.06043547158273635
0.36, 72.0, -67.68, 0.02468564120891706, -0.060130018444239784
0.37, 72.0, -66.96, 0.025439288344418165, -0.05981507007878157
0.38, 72.0, -66.24, 0.026188918321388074, -0.05949067622035964
0.39, 72.0, -65.52, 0.026934412764563476, -0.05915688809452472
0.4, 72.0, -64.8, 0.027675653951729724, -0.058813758410291274
0.41000000000000003, 72.0, -64.08, 0.028412524832310646, -0.05846134135181411
0.42, 72.0, -63.36, 0.029144909045852097, -0.05809969256983215
0.43, 72.0, -62.64, 0.029872690940396716, -0.05772886917288039
0.44, 72.0, -61.92, 0.030595755590746614, -0.05734892971827196
0.45, 72.0, -61.2, 0.03131398881661149, -0.05695993420285114
0.46, 72.0, -60.480000000000004, 0.03202727720063895, -0.05656194405351917
